Name,In Stock,Manage Stock,Tax Class,Active,oryginal_price,SKU,ean,weee,weight,images,oryginal_url,is_variant,variants_sku,product_type,base_image,additional_images
"Worki na śmieci Deiss PREMIUM 120 litrów, 37 my",1,0,1,1,"59,12",HGS15018,4001553150187.0,,"13,5",https://www.hygiene-shop.com/media/ce/bc/40/1646310475/deiss-premium-abfallsaecke-120-liter-37-my-schwarz-15018-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my,False,"11021,14024,15018,16001,19029",parent_has_variants,https://www.hygiene-shop.com/media/ce/bc/40/1646310475/deiss-premium-abfallsaecke-120-liter-37-my-schwarz-15018-1.webp,
Czarny,1,0,1,1,"59,12",HGS15018,4001553150187.0,,"13,5",https://www.hygiene-shop.com/media/ce/bc/40/1646310475/deiss-premium-abfallsaecke-120-liter-37-my-schwarz-15018-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my,False,"11021,14024,15018,16001,19029",is_variant,https://www.hygiene-shop.com/media/ce/bc/40/1646310475/deiss-premium-abfallsaecke-120-liter-37-my-schwarz-15018-1.webp,
Czerwony,1,0,1,1,"72,01",HGS11021,4001553110211.0,,"13,6",https://www.hygiene-shop.com/media/60/de/49/1646310468/deiss-premium-abfallsaecke-120-liter-37-my-rot-11021-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-rot,True,,is_variant,https://www.hygiene-shop.com/media/60/de/49/1646310468/deiss-premium-abfallsaecke-120-liter-37-my-rot-11021-1.webp,
Szary,1,0,1,1,"68,85",HGS14024,4001553140249.0,,"13,6",https://www.hygiene-shop.com/media/14/77/7b/1646310473/deiss-premium-abfallsaecke-120-liter-37-my-grau-14024-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-grau,True,,is_variant,https://www.hygiene-shop.com/media/14/77/7b/1646310473/deiss-premium-abfallsaecke-120-liter-37-my-grau-14024-1.webp,
Biały,1,0,1,1,"80,52",HGS16001,4001553160018.0,,"13,5",https://www.hygiene-shop.com/media/cd/ec/dd/1646310475/deiss-premium-abfallsaecke-120-liter-37-my-weiss-16001-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-weiss,True,,is_variant,https://www.hygiene-shop.com/media/cd/ec/dd/1646310475/deiss-premium-abfallsaecke-120-liter-37-my-weiss-16001-1.webp,
Transparentny,1,0,1,1,"93,28",HGS19029,4001553190299.0,,"13,5",https://www.hygiene-shop.com/media/f8/c9/dc/1646310477/deiss-premium-abfallsaecke-120-liter-37-my-transparent-19029-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-transparent,True,,is_variant,https://www.hygiene-shop.com/media/f8/c9/dc/1646310477/deiss-premium-abfallsaecke-120-liter-37-my-transparent-19029-1.webp,
"Worki na odpady Deiss ECOFINE 120 litrów, 25 my (typ 60)",1,0,1,1,"47,12",HGS14900,4001553149006.0,,"9,3",https://www.hygiene-shop.com/media/f0/c1/1e/1646310474/deiss-ecofine-abfallsaecke-120-liter-25-my-grau-14900-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60,False,"10900,11900,13900,14900,19900",parent_has_variants,https://www.hygiene-shop.com/media/f0/c1/1e/1646310474/deiss-ecofine-abfallsaecke-120-liter-25-my-grau-14900-1.webp,
Szary,1,0,1,1,"47,12",HGS14900,4001553149006.0,,"9,3",https://www.hygiene-shop.com/media/f0/c1/1e/1646310474/deiss-ecofine-abfallsaecke-120-liter-25-my-grau-14900-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60,False,"10900,11900,13900,14900,19900",is_variant,https://www.hygiene-shop.com/media/f0/c1/1e/1646310474/deiss-ecofine-abfallsaecke-120-liter-25-my-grau-14900-1.webp,
Niebieski,1,0,1,1,"51,18",HGS10900,4001553109000.0,,"9,3",https://www.hygiene-shop.com/media/e3/ef/53/1646310467/deiss-ecofine-abfallsaecke-120-liter-25-my-blau-10900-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-blau,True,,is_variant,https://www.hygiene-shop.com/media/e3/ef/53/1646310467/deiss-ecofine-abfallsaecke-120-liter-25-my-blau-10900-1.webp,
Czerwony,1,0,1,1,"57,35",HGS11900,4001553119009.0,,"9,3",https://www.hygiene-shop.com/media/6d/2b/be/1646310469/deiss-ecofine-abfallsaecke-120-liter-25-my-rot-11900-1.webp,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-rot,True,,is_variant,https://www.hygiene-shop.com/media/6d/2b/be/1646310469/deiss-ecofine-abfallsaecke-120-liter-25-my-rot-11900-1.webp,
