sku,old_oryginal_price,oryginal_url,new_oryginal_price
HGS90550,41.86,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-38my-typ-60,45.04
HGS22104,68.98,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-70-my-typ-100,74.23
HGS22706,42.14,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellbeutel-60-liter-weiss-20my,49.11
HGS22178,56.77,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-180-liter-blau-42-my,61.11
HGS6641,31.06,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-liter-weiss-9my,33.43
HGS22232,45.21,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-transparent-33my-typ-60,48.64
HGS90402,33.21,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-70-liter-blau-33-my,35.75
HGS6605,41.13,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-32my-typ-60,44.26
HGS90506,47.11,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-240-liter-blau-60-my,50.99
HGS36026,32.62,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-80-liter-weiss-12-my,35.11
HGS20002,44.72,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-27-my,48.12
HGS22177,61.42,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-150-liter-blau-42-my,66.68
HGS10002,85.76,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-plus-abfallsaecke-120-liter-blau-100-my,92.28
HGS36022,70.06,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-12-my,75.39
HGS15018,59.12,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my,63.63
HGS7004,33.97,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-papierabfallsaecke-120-liter,36.56
HGS400008,57.26,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-mit-zugband-38my-typ-60,61.62
HGS400344,35.58,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-profiline-muellsaecke-120-liter-blau-32-my-typ-60,38.29
HGS6668,58.81,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-liter-transparent-6my,63.28
HGS36008,60.94,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallsaecke-60-80-liter-weiss-18-my,65.57
HGS14900,47.12,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60,50.71
HGS402819,55.44,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-17-my-typ-20,59.67
HGS46928,29.45,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-80-liter-weiss-8-my,31.69
HGS36006,71.04,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-90-liter-weiss-15-my,76.45
HGS90099,74.15,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-zugbandsaecke-120-liter-blau-50-my,79.79
HGS20017,72.02,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-50-my-typ-70,77.50
HGS401591,33.26,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-60-liter-schwarz-29-my-typ-40,35.80
HGS6601,39.89,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-30my,42.92
HGS10115,127.27,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-240-liter-blau-100-my,136.95
HGS20101,89.94,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-240-liter-blau-75-my,96.78
HGS20013,59.2,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-plus-abfallsaecke-120-liter-blau-34-my,63.70
HGSBS-240-10,181.0,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-240-liter-17-my,194.76
HGS59024,39.13,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-hd-abfallbeutel-60-liter-transparent-5-my,42.10
HGS401427,58.99,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-65-my-typ-100,63.47
HGS10010,91.8,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-70-my,98.78
HGS20055D,51.63,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60,55.56
HGS10708,66.44,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-blau-40-my-typ-60,71.50
HGS10712,65.55,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my,70.52
HGS99129,89.61,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-180-liter-transparent-60-my,96.43
HGS10035,79.72,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my,85.79
HGS410017,47.47,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muellbeutel-60-liter-transparent-6-my,51.07
HGS10114,111.18,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-180-liter-blau-100-my,119.64
HGS90306-pap,41.59,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-blauer-engel-240-l-145-cm-x-120-cm-schwarz,brak ceny
HGS46923,52.81,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-80-liter-weiss-10-my,56.82
HGS12396-pap,42.97,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-140-l-110-cm-x-80-cm-schwarz,43.59
HGS12730,48.35,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-gruen-34-my-typ-60,52.03
HGS400532,55.07,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-84-my-typ-100,59.26
HGS36519,101.77,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-23-my,109.52
HGS401214,76.4,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-35-my-typ-60,61.46
HGS19002,91.8,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-transparent-40-my-typ-60,99.58
HGS12134-pap,49.17,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-schwarz-extra-stark-und-extra-reissfest,52.91
HGS410081,73.2,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-mit-zugband-60-liter-gruen-10-5-my,78.77
HGS10306,84.24,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-blau-44-my,90.65
HGS410231,28.55,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-70-liter-weiss-8-my,30.71
HGS401425,54.99,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-schwarz-38-my-typ-60,59.17
HGS93008,163.07,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-infektionswaesche-85-liter-gelb-85-my,175.48
HGS402215,47.04,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-transparent-17-my-typ-20,50.62
HGS90059,101.46,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-140-liter-blau-38-my,109.17
HGS410015,48.97,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-ulith-muelleimerbeutel-60-liter-transparent-7-my,52.71
HGS401523,64.44,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-61-my-typ-80,69.34
HGS401542,82.07,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-gelb-61-my-typ-80,88.32
HGS49908,69.06,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallbeutel-60-liter-transparent-6-my,74.30
HGS410128,53.37,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-hostess-muellsaecke-mit-seitenfalten-60-80-liter-weiss-17-my-typ-30,57.43
HGS400349,51.72,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-profiline-muellsaecke-120-liter-blau-66-my-typ-100,55.66
HGSBS-120140-10,172.31,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsaecke-120-liter-17-my,185.43
HGS400350,69.09,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-140-liter-blau-40-my-typ-60,74.35
HGS14196-pap,50.22,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-60-l-75-cm-x-65-cm-grau,44.73
HGS11703,122.34,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-70-liter-rot-150-my,131.65
HGSBS-6080-10,173.5,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-60-80-20-my,186.71
HGS400534,56.32,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-180-liter-blau-56-my-typ-70,60.61
HGS400536,63.05,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-seitenfalten-240-liter-blau-56-my-typ-70,67.85
HGS12132-pap,49.12,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-blau-extra-stark-und-extra-reissfest,52.85
HGSNB300,53.36,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/unger-niftynabber-bagger-muellsammler-180-liter,57.42
HGS400296,63.34,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-mit-zugband-120-liter-blau-38-my-typ-60,68.16
HGS99016,195.05,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-standard-abfallsaecke-240-liter-transparent-80-my,209.88
HGS400348,61.18,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-42-my-typ-70,65.83
HGS10052-pap,60.11,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-120-l-100-cm-x-70-cm-schwarz,60.21
HGS12435-pap,66.82,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-60-l-71-cm-x-64-cm-gelb,71.90
HGS400166,45.01,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-34-my-typ-60,48.43
HGSBS-4060-10,183.02,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bioabfallsack-40-60-liter-20-my,196.96
HGS12133-pap,51.41,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-100-cm-x-57-cm-schwarz-extra-stark-und-extra-reissfest,55.31
HGS12330-pap,37.62,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-60-l-85-cm-x-60-cm-blau,40.48
HGS401763,54.07,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-33-my-typ-60,58.19
HGS401512,81.44,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-61-my-typ-80,87.64
HGS401718,57.67,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-transparent-33-my-typ-60,62.05
HGS12447-pap,49.15,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-240-l-125-cm-x-100-cm-blau-extra-stark-und-extra-reissfest,52.88
HGS12458-pap,47.12,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-blau,84.24
HGS400196,73.14,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-54-my-typ-80,78.71
HGS11038-pap,68.97,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-auskleidesaecke-fuer-muelltonnen-120-l-110-cm-x-90-cm-schwarz,74.22
HGS995,89.25,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/tork-995-advanced-abfallsaecke-b1-70-liter-transparent-25-my,96.04
HGS401532,86.73,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-rot-61-my-typ-80,93.32
HGS402149,60.37,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-gelb-17-my-typ-20,64.96
HGS14197-pap,40.94,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-60-l-71-cm-x-64-5-cm-gelb,41.38
HGS14189-pap,65.57,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-abfallsaecke-aus-papier-pure-240-l-115-cm-x-80-cm-x-30-cm-braun-2-lagig,70.57
HGS401515,47.74,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-70-liter-transparent-33-my-typ-60,51.37
HGS10051-pap,69.45,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-gelb,69.62
HGS12328-pap,51.17,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-150-l-150-cm-x-70-cm-schwarz-extra-stark-und-extra-reissfest,59.26
HGS400330,41.86,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-supertec-120-liter-blau-25-my-typ-60,45.04
HGS400172,79.11,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-70-liter-blau-78-my-typ-100,85.13
HGS11037-pap,79.54,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-auskleidesaecke-fuer-muelltonnen-240-l-135-cm-x-120-cm-schwarz,85.58
HGS97001-pap,113.19,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-20-l-56-cm-x-44-cm-mit-tragegriff,121.80
HGS97003-pap,177.55,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-120-l-130-cm-x-88-cm-ohne-tragegriff,180.81
HGS12433-pap,57.69,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-hdpe-120-l-100-cm-x-70-cm-blau,62.07
HGSPSE-110-03,91.25,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/biomat-bio-abfallsack-aus-kraftpapier-110-liter-2-lagig,brak ceny
HGS400340,80.56,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-61-my-typ-80,86.68
HGS12378-pap,55.03,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-blau-mit-biologisch-verrottbaren-zusaetzen,54.63
HGS14182-pap,59.06,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-abfallsaecke-aus-papier-pure-120-l-95-cm-x-70-cm-x-25-cm-braun-2-lagig,59.00
HGS400346,57.7,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-38-my-typ-60,62.08
HGS12128-pap,59.02,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-120-l-110-cm-x-70-cm-transparent,59.31
HGS14195-pap,46.83,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-mit-zugband-ldpe-120-l-100-cm-x-70-cm-blau,50.40
HGS89224-pap,86.48,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-kompostsaecke-aus-papier-pure-60-l-85-cm-x-55-cm-x-23-cm-braun-2-lagig,83.50
HGS40003,95.06,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-universal-plus-abfallsaecke-120-liter-blau-18-my,102.29
HGS97002-pap,133.28,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-30-l-60-cm-x-53-cm-ohne-tragegriff,143.42
HGS90032-pap,64.5,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-t-g-ps-muellsaecke-ldpe-120-l-110-cm-x-70-cm-blau,59.06
HGS97000-pap,127.0,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/papstar-biomat-kompostbeutel-auf-staerkebasis-10-l-50-cm-x-42-cm-mit-tragegriff,136.66
HGS12126-pap,44.59,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-ldpe-240-l-125-cm-x-100-cm-schwarz,44.92
HGS19533-pap,82.59,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-gelb,84.24
HGS19531-pap,82.59,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-120-l-110-cm-x-70-cm-transparent,84.24
HGS19544-pap,67.12,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/starpak-muellsaecke-hdpe-70-l-100-cm-x-57-5-cm-transparent,68.97
HGS91160,42.27,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-25-liter-mit-griff-weiss-14my,47.34
HGS22716,51.3,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-30-liter-weiss-15my,59.48
HGS91150,35.19,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-30-liter-transparent-6my,40.35
HGS22698,25.16,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-10-liter-grau-6my,27.07
HGS22696,20.29,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-6-liter-transparent-6my,21.84
HGS22364,42.21,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-24-liter-weiss-14my,49.35
HGS95059,42.74,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-abfallbeutel-60-liter-schwarz-35-my-typ-60,46.01
HGS6667,26.55,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-24-liter-grau-6my,28.57
HGS22634,31.78,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/muellbeutel-16-20-liter-transparent-6my,34.47
HGS410115,53.86,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-mit-henkel-35-liter-transparent-8-5-my,57.96
HGS59906,31.63,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-muellbeutel-16-liter-transparent-6-my,34.05
HGSBS-30-10,137.69,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-30-liter-20-my,148.17
HGS56820,49.53,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-standard-abfallbeutel-30-liter-weiss-11-my,53.29
HGS20021,54.55,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-abfallbeutel-30-liter-blau-35-my-typ-60,58.70
HGS44904,45.37,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-universal-plus-abfallbeutel-30-liter-grau-5-my,48.83
HGS95034,78.52,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-abfallbeutel-30-liter-schwarz-25-my,84.49
HGS44901,35.19,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-universal-plus-abfallbeutel-6-liter-grau-6-my,37.87
HGS54908,40.77,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-hd-abfallbeutel-30-liter-5-my,43.88
HGS410319,32.64,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/wbv-muellbeutel-6-liter-grau-5-5-my,35.13
HGS12088-pap,41.89,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-muellbeutel-mit-tragegriffen-hdpe-60-l-75-cm-x-65-cm-transparent,45.07
HGS49901,52.04,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-hd-muellbeutel-24-liter-transparent-6-my,55.99
HGS36021,94.85,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-pe-ld-muellbeutel-30-liter-weiss-12-my,102.07
HGS44902,40.42,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-universal-plus-abfallbeutel-15-liter-grau-6-my,43.51
HGS12086-pap,50.1,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/starpak-kosmetik-muellbeutel-ldpe-5-l-44-cm-x-36-cm-weiss,53.91
HGS204060,83.2,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/tork-204060-muellbeutel-50-liter-transparent,89.54
HGSBBH-10-26,163.22,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/biomat-bio-abfallbeutel-mit-henkel-10-liter-17-my,175.63
HGS34007,91.27,https://www.hygiene-shop.com/muellbeutel-bis-60-liter/deiss-first-plus-abfallbeutel-30-liter-grau-11-my,98.21
