sku;ean;old_oryginal_price;oryginal_url;new_sku;new_oryginal_url;new_ean;new_oryginal_price
HGS90550;4010373905518;45.0400;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-38my-typ-60;HGS90550;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-38my-typ-60;4010373905518;48.71
HGS22104;4010373221052;74.2300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-70-my-typ-100;HGS22104;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-70-my-typ-100;4010373221052;78.03
HGS22706;4010373227061;49.1100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellbeutel-60-liter-weiss-20my;HGS22706;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellbeutel-60-liter-weiss-20my;4010373227061;51.41
HGS22178;4010373221793;61.1100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-180-liter-blau-42-my;HGS22178;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-180-liter-blau-42-my;4010373221793;64.27
HGS6641;4025648102318;33.4300;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-liter-weiss-9my;HGS06641;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-liter-weiss-9my;4025648102318;33.43
HGS22232;4010373222332;48.6400;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-transparent-33my-typ-60;HGS22232;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-transparent-33my-typ-60;4010373222332;51.80
HGS90402;4010373904030;35.7500;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-70-liter-blau-33-my;HGS90402;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-70-liter-blau-33-my;4010373904030;37.49
HGS6605;4025648002182;44.2600;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-32my-typ-60;HGS06605;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-32my-typ-60;4025648002182;44.26
HGS90506;4010373905068;50.9900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-240-liter-blau-60-my;HGS90506;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-240-liter-blau-60-my;4010373905068;54.56
HGS36026;4001553360265;35.1100;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-80-liter-weiss-12-my;HGS36026;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-80-liter-weiss-12-my;4001553360265;35.11
HGS20002;4001553200028;48.1200;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-27-my;HGS20002;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-27-my;4001553200028;48.12
HGS22177;4010373221779;66.6800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-150-liter-blau-42-my;HGS22177;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-150-liter-blau-42-my;4010373221779;71.03
HGS10002;4001553900393;92.2800;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-plus-abfallsaecke-120-liter-blau-100-my;HGS10002;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-plus-abfallsaecke-120-liter-blau-100-my;4001553900393;92.28
HGS36022;4001553360227;75.3900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-12-my;HGS36022;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-liter-weiss-12-my;4001553360227;75.39
