id;sku;oryginal_url;new_sku;new_ean;new_oryginal_price;new_oryginal_url
1;HGS15018;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-schwarz;HGS15018;4001553150187;63.63;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-schwarz
2;HGS11021;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-rot;HGS11021;4001553110211;77.49;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-rot
5;HGS19029;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-transparent;HGS19029;4001553190299;100.38;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-37-my-transparent
6;HGS14900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-grau;HGS14900;4001553149006;50.71;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-grau
8;HGS11900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-rot;HGS11900;4001553119009;61.70;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-rot
9;HGS13900;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-gelb;HGS13900;4001553139007;59.27;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-ecofine-abfallsaecke-120-liter-25-my-typ-60-gelb
11;HGS20055D;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-blau;HGS20055D;4001553200554;55.56;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-blau
12;HGS22012;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-gruen;HGS22012;4001553220125;66.09;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-32-my-typ-60-gruen
14;HGS10712;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-blau;HGS10712;4001553107129;70.52;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-blau
15;HGS11708;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-rot;HGS11708;4001553117081;82.15;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-rot
17;HGS13707;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-gelb;HGS13707;4001553137072;79.19;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-70-liter-60-my-gelb
19;HGS10035;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-blau;HGS10035;4001553100359;85.79;https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-premium-abfallsaecke-120-liter-60-my-blau
