input_row_index,input_url,sku,ean,oryginal_price,oryginal_url
0,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-38my-typ-60,HGS90550,4010373905518,48.71,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-38my-typ-60
1,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-70-my-typ-100,HGS22104,4010373221052,78.03,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-blau-70-my-typ-100
2,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellbeutel-60-liter-weiss-20my,HGS22706,4010373227061,51.41,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellbeutel-60-liter-weiss-20my
3,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-180-liter-blau-42-my,HGS22178,4010373221793,64.27,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-180-liter-blau-42-my
4,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-liter-weiss-9my,HGS06641,4025648102318,33.43,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellbeutel-60-liter-weiss-9my
5,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-transparent-33my-typ-60,HGS22232,4010373222332,51.80,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-120-liter-transparent-33my-typ-60
6,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-70-liter-blau-33-my,HGS90402,4010373904030,37.49,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-70-liter-blau-33-my
7,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-32my-typ-60,HGS06605,4025648002182,44.26,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/wbv-muellsaecke-120-liter-blau-32my-typ-60
8,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-240-liter-blau-60-my,HGS90506,4010373905068,54.56,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-240-liter-blau-60-my
9,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-80-liter-weiss-12-my,HGS36026,4001553360265,35.11,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-first-plus-abfallbeutel-60-80-liter-weiss-12-my
10,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-27-my,HGS20002,4001553200028,48.12,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/deiss-pe-ld-abfallsaecke-120-liter-blau-27-my
11,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-150-liter-blau-42-my,HGS22177,4010373221779,71.03,https://www.hygiene-shop.com/muellsaecke-ab-60-liter/muellsaecke-150-liter-blau-42-my
